"premios","pelicula_id"
"<li> Premio Opera Prima y Mejor edición, Festival Internacional de Documentales Santiago Álvarez In Memoriam, Cuba, 2013.",2054
"<li> Premio del público, Festival de Cine Latinoamericano de Toulouse, Francia, 2013.",1982
"<li> Premio Rail D'oc, Festival de Cine Latinoamericano de Toulouse, Francia, 2013.",2053
"<li> Mención Especial del Jurado, Festival Internacional BioBio Cine, Concepción, 2013.",2254
"<li> KNF Award, Festival de Cine de Rotterdam, 2013.",2168
"<li> Mejor película sección Vanguardia y Género, BAFICI, Buenos Aires, 2013.",1982
"<li> Premio FEISAL, BAFICI, Buenos Aires, 2013.",2403
"<li> Mejor película competencia internacional, Festival Internacional de Cine Documental de Coquimbo, Fedoc, 2013.",2335
"<li> Mejor película competencia nacional, Festival Internacional de Cine Documental de Coquimbo, Fedoc, 2013.",2254
"<li> Premio Especial del Jurado y Premio Mejor Guión, Festival de Cine Festroia, Portugal.",1377
"<li> Premio del público Competencia Chilena, Festival Internacional de Documentales de Santiago (FIDOCS), Chile, 2013.",2224
"<li> Mejor composición musical Competencia Chilena, Festival Internacional de Documentales de Santiago (FIDOCS), Chile, 2013.",2108
"<li> Independent Camera Award, Karlovy Vary International Film Festival, República Checa, 2013.",2273
"<li> Mejor director, Havana Film Festival New York, 2013.",2273
"<li> Mención honrosa, Competencia Internacional, Santiago Festival Internacional de Cine, Sanfic, 2013.",2564
"<li> Mejor película y Premio del público, Competencia de Cine Chileno, Santiago Festival Internacional de Cine, Sanfic, 2013.",2580
"<li> Mejor director, Competencia de Cine Chileno, Santiago Festival Internacional de Cine, Sanfic, 2013.",2525
"<li> Premio del Jurado Largometraje, Festival de Biarritz Amérique Latine, Francia, 2013",2562
"<li> Premio del Syndicat Français de la Critique, Festival de Biarritz Amérique Latine, Francia, 2013",2475
"<li> Película Largometraje Chileno, Festival Internacional de Cine de Valdivia, 2013.",2603
"<li> Premio del Público y el Premio VTR del Público, Festival Internacional de Cine de Valdivia, 2013.",2607
"<li> Mejor película, Categoría documental largometraje, Arquitectura Film Festival Santiago, ARQFILMFEST, 2013",2054
"<li> Mejor película, Festival de Cine Recobrado, Chile, 2013.",2335
"<li> Mejor película, Competencia contemporánea Festival de Trieste, Italia, 2013.",2335
"<li> Mejor dirección, Mejor actriz, Festival de Cine Iberoamericano de Huelva, 2013.",2168
"<li> Mejor Director Novel, Festival de Cine Iberoamericano de Huelva, 2013.",2580
"<li> Premio del Público, Mención Honrosa del Jurado, Festival Internacional de Cine de Viña del Mar, 2013.",1192
"<li> World Cinema Grand Jury Prize for dramatic, Sundance Festival, 2014.",2715
"<li> Big Screen critics award, Festival de Cine de Rotterdam, 2014.",2715
"<li>Mejor Director y Premio FIPRESCI,  Festival Internacional de Cine de Cartagena, 2014.",2715
"<li>Premio del público, Festival de Cine de Mujeres (Femcine), 2013.",1192
"<li> Mejor película, Mejor guión, Mejor protagonista femenina, Premios Platino de Cine.",2377
"<li>Mejor película, Festival Cinematográfico Internacional del Uruguay, 2014.",2607
"<li>Premio del Jurado, Competencia Internacional de mediometrajes, Visions du Reel, Suiza, 2014.",2741
"<li>Mejor película, Competencia de Cortometraje Animado Nacional, Festival Chilemonos, 2014.",2785
