pelicula_id,ano,responsable,monto,institucion,tipo,titulo,salas,copias,publico,,,,,,,
2168,2012,Producción y Distribución de Cine Jirafa Ltda.,14922875,corfo,Ficcion,EL FUTURO,5,8,4774,,,,,,,Alicia Scherson
2169,2012,Comercializadora BF Limitada,14848500,corfo,Ficcion,Que pena tu familia,6,48,192350,,,,,,,Nicolás López
2172,2013,Comerzializadora Market Chile Ltda.,12545000,corfo,Ficcion,Ulises Morales (ahora Morales el Reformador),4,3,1585,,,,,,,Víctor Cubillos
2211,2014,Comercializadora Market Chile Ltda.,7411200,corfo,Ficcion,El incontrolable mundo del azar,2,8,2190,,,,,,,Marcela Said Cares
2218,2012,Comercializadora BF Limitada,14880000,corfo,Ficcion,Paseo de Oficina,7,51,71415,,,,,,,Roberto Artiagoitía
2221,2014,Asesorías y Producciones Fábula Ltda.,14448000,corfo,Ficcion,09,5,,75251,,,,,,,Sebastián Badilla y Gonzalo Badilla
2224,2006,CATALINA VERGARA ARTHUR,31074913,fondart,Ficcion,LA ÚLTIMA ESTACIÓN,1,2,104,,,,,,,
2224,2012,Globo Rojo Producciones Limitada,7618952,corfo,Ficcion,La última estación,1,2,104,,,,,,,
2242,2010,MARÍA SOLEDAD SILVA ABRANETTO,49550535,fondart,,74 METROS CUADRADOS,,,,,,,,,,
2243,2013,Green Films S.A.,11595750,corfo,Documental,Tráiganme la cabeza de la mujer metralleta,3,13,2529,,,,,,,Ernesto Díaz
2254,2010,GILBERTO ANTONIO VILLARROEL ESCOBAR,90000015,fondart,Documental,ISIDORA AGUIRRE : DOY POR VIVIDO TODO LO SOÑADO,,,,,,,,,,
2273,2013,Invercine Producciones Ltda.,9282500,corfo,Ficcion,Las cosas son como son,4,5,2260,,,,,,,Fernando Lavanderos
2292,2012,Comercializadora BF Limitada,14552034,corfo,Ficcion,El Babysitter,8,31,82565,,,,,,,Sebastián Badilla y Gonzalo Badilla
2335,2012,CARNADA FILMS EIRL,35469845,fondart,,ROSITA: LA AMANTE DEL FÜHRER,,,,,,,,,,
2340,2010,JAIME MARCELO DÍAZ LAVANCHY ,70613969,fondart,,INHABITABLE,,,,,,,,,,
2347,2013,"Matías Pinochet García, prestación de servicios audiovisuales y publicitarios E.I.R.L.",7955450,corfo,Documental,"Los Rockers, rebelde Rock and Roll",2,1,26,,,,,,,
2377,2013,Comercializadora BF Limitada,13628589,corfo,Documental,Gloria,11,25,144717,,,,,,,Sebastián Lelio
